,tradeDate,Name,F1_OI,F2_OI,F3_OI,AGG_OI
325,2011-04-18,CL,22132.0,351785.0,186376.0,1545215.0
326,2011-04-19,CL,3302.0,358632.0,186200.0,1539895.0
327,2011-04-20,CL,361085.0,182504.0,70632.0,1547306.0
328,2011-04-21,CL,355227.0,184202.0,71493.0,1547658.0
329,2011-04-25,CL,350537.0,187283.0,72503.0,1548333.0
330,2011-04-26,CL,346993.0,193435.0,72959.0,1553704.0
331,2011-04-27,CL,348610.0,199608.0,75336.0,1581277.0
332,2011-04-28,CL,352319.0,206018.0,78404.0,1602349.0
333,2011-04-29,CL,341620.0,211987.0,80317.0,1608194.0
334,2011-05-02,CL,340962.0,222101.0,82069.0,1625407.0
335,2011-05-03,CL,328010.0,230191.0,83285.0,1624328.0
336,2011-05-04,CL,321820.0,235195.0,82744.0,1630319.0
337,2011-05-05,CL,331066.0,249389.0,80592.0,1653508.0
338,2011-05-06,CL,308727.0,271344.0,78012.0,1645447.0
339,2011-05-09,CL,290599.0,295641.0,81058.0,1662339.0
340,2011-05-10,CL,256673.0,312471.0,88159.0,1653799.0
341,2011-05-11,CL,233531.0,334406.0,92239.0,1664400.0
342,2011-05-12,CL,208145.0,356216.0,93729.0,1663495.0
343,2011-05-13,CL,191189.0,363444.0,90516.0,1650960.0
344,2011-05-16,CL,165081.0,372506.0,90941.0,1629846.0
345,2011-05-17,CL,102731.0,386598.0,91254.0,1582868.0
346,2011-05-18,CL,60674.0,403840.0,88984.0,1560617.0
347,2011-05-19,CL,20686.0,417459.0,89043.0,1546119.0
348,2011-05-20,CL,2802.0,416630.0,88300.0,1529630.0
349,2011-05-23,CL,411611.0,90352.0,96868.0,1534010.0
350,2011-05-24,CL,397628.0,93794.0,96351.0,1522066.0
351,2011-05-25,CL,394471.0,92443.0,98248.0,1515440.0
352,2011-05-26,CL,386946.0,87866.0,100921.0,1510676.0
353,2011-05-27,CL,376620.0,92006.0,102134.0,1506435.0
354,2011-05-31,CL,365230.0,98954.0,106051.0,1508418.0
355,2011-06-01,CL,355555.0,104752.0,105949.0,1511593.0
356,2011-06-02,CL,338132.0,110692.0,114632.0,1515219.0
357,2011-06-03,CL,328205.0,114535.0,119776.0,1512379.0
358,2011-06-06,CL,317727.0,117372.0,121462.0,1505024.0
359,2011-06-07,CL,288420.0,140481.0,130183.0,1515910.0
360,2011-06-08,CL,269561.0,160989.0,136668.0,1534500.0
361,2011-06-09,CL,234479.0,174688.0,136249.0,1529971.0
362,2011-06-10,CL,203326.0,202913.0,147356.0,1547443.0
363,2011-06-13,CL,189858.0,230489.0,153730.0,1587920.0
364,2011-06-14,CL,167241.0,242567.0,153482.0,1584927.0
365,2011-06-15,CL,131293.0,267615.0,155587.0,1570694.0
366,2011-06-16,CL,89807.0,279879.0,157599.0,1549256.0
367,2011-06-17,CL,65994.0,295536.0,155921.0,1538331.0
368,2011-06-20,CL,31241.0,326404.0,156747.0,1532568.0
369,2011-06-21,CL,4593.0,345510.0,157402.0,1528927.0
370,2011-06-22,CL,336389.0,159213.0,70300.0,1513461.0
371,2011-06-23,CL,326552.0,166854.0,72238.0,1511301.0
372,2011-06-24,CL,330972.0,172396.0,75801.0,1527093.0
373,2011-06-27,CL,318472.0,173915.0,71401.0,1503059.0
374,2011-06-28,CL,316712.0,183770.0,74297.0,1524313.0
375,2011-06-29,CL,311066.0,189646.0,73826.0,1519202.0
376,2011-06-30,CL,303770.0,196259.0,74307.0,1523018.0
377,2011-07-01,CL,299737.0,199216.0,73585.0,1522247.0
378,2011-07-05,CL,291009.0,200220.0,72752.0,1522391.0
379,2011-07-06,CL,277669.0,204588.0,73710.0,1522535.0
380,2011-07-07,CL,263471.0,215305.0,79396.0,1536313.0
381,2011-07-08,CL,241645.0,229238.0,79847.0,1529024.0
382,2011-07-11,CL,219452.0,251084.0,78149.0,1535098.0
383,2011-07-12,CL,185084.0,276749.0,79694.0,1538256.0
384,2011-07-13,CL,159031.0,308043.0,85649.0,1552946.0
385,2011-07-14,CL,116710.0,336842.0,84955.0,1541749.0
386,2011-07-15,CL,86892.0,343972.0,81868.0,1517309.0
387,2011-07-18,CL,60631.0,362427.0,84937.0,1514811.0
388,2011-07-19,CL,22731.0,377405.0,86533.0,1493882.0
389,2011-07-20,CL,1051.0,376393.0,88173.0,1476986.0
390,2011-07-21,CL,381714.0,93310.0,73456.0,1490789.0
391,2011-07-22,CL,377153.0,95066.0,76901.0,1500826.0
392,2011-07-25,CL,370483.0,92336.0,78377.0,1498061.0
393,2011-07-26,CL,370529.0,97152.0,79768.0,1506662.0
394,2011-07-27,CL,367659.0,99095.0,86201.0,1510095.0
395,2011-07-28,CL,361370.0,101169.0,87644.0,1510656.0
396,2011-07-29,CL,362094.0,105472.0,88338.0,1521594.0
397,2011-08-01,CL,364537.0,114443.0,91132.0,1536140.0
398,2011-08-02,CL,352810.0,112522.0,95651.0,1528978.0
