,CO1 Comdty ,CO2 Comdty ,CO3 Comdty,S:COCO 1-2 Comdty
,VOLUME,VOLUME,VOLUME,VOLUME
2011-05-25,225716.0,74011.0,40032.0,37901.0
2011-05-26,193654.0,59356.0,31481.0,31605.0
2011-05-27,136988.0,45814.0,20702.0,25515.0
2011-05-30,18832.0,4862.0,2613.0,3019.0
2011-05-31,168236.0,70839.0,38979.0,38761.0
2011-06-01,191586.0,79123.0,39381.0,40921.0
2011-06-02,217537.0,109376.0,61980.0,58352.0
2011-06-03,194131.0,85856.0,41003.0,48026.0
2011-06-06,154184.0,72168.0,36307.0,39676.0
2011-06-07,237247.0,141859.0,71063.0,69675.0
2011-06-08,252407.0,147146.0,77750.0,71898.0
2011-06-09,233045.0,167618.0,56566.0,92602.0
2011-06-10,186220.0,132663.0,51734.0,69888.0
2011-06-13,232153.0,239618.0,87152.0,118149.0
2011-06-14,155479.0,251858.0,91055.0,94077.0
2011-06-15,23991.0,312954.0,112075.0,21361.0
2011-06-16,229648.0,88120.0,37527.0,52503.0
2011-06-17,213256.0,76855.0,32576.0,44805.0
2011-06-20,180219.0,79244.0,38109.0,46793.0
2011-06-21,230172.0,99743.0,54538.0,54601.0
2011-06-22,220843.0,84094.0,45281.0,51231.0
2011-06-23,463810.0,268890.0,143175.0,156162.0
2011-06-24,264607.0,164214.0,94166.0,91242.0
2011-06-27,204812.0,108345.0,64749.0,58999.0
2011-06-28,212666.0,128928.0,67568.0,67818.0
2011-06-29,230746.0,104896.0,61536.0,53749.0
2011-06-30,193585.0,95316.0,52826.0,53613.0
2011-07-01,158446.0,87622.0,45612.0,45503.0
2011-07-04,44885.0,29852.0,12381.0,15613.0
2011-07-05,188858.0,127893.0,59075.0,71521.0
2011-07-06,183525.0,109507.0,48119.0,57230.0
2011-07-07,215109.0,128846.0,71102.0,64033.0
2011-07-08,217548.0,159515.0,70063.0,78832.0
2011-07-11,179635.0,157171.0,58584.0,73124.0
2011-07-12,150986.0,169687.0,57219.0,73517.0
2011-07-13,107671.0,240139.0,74770.0,73785.0
2011-07-14,17508.0,205717.0,80545.0,12245.0
2011-07-15,143920.0,67877.0,23699.0,42124.0
2011-07-18,152085.0,64176.0,31965.0,39397.0
2011-07-19,192535.0,105143.0,44822.0,60965.0
2011-07-20,161917.0,71786.0,27604.0,44002.0
2011-07-21,184004.0,74239.0,28102.0,44621.0
2011-07-22,119580.0,42777.0,18962.0,24421.0
2011-07-25,129314.0,61116.0,25793.0,37608.0
2011-07-26,177466.0,66393.0,25632.0,42128.0
2011-07-27,177126.0,89173.0,36471.0,53338.0
2011-07-28,187592.0,104666.0,49348.0,61167.0
2011-07-29,196458.0,77272.0,35403.0,47221.0
2011-08-01,247669.0,100976.0,44141.0,54541.0
2011-08-02,210261.0,105533.0,42245.0,59846.0
2011-08-03,240045.0,114729.0,52489.0,64859.0
2011-08-04,322548.0,151975.0,62650.0,87188.0
2011-08-05,290606.0,133614.0,52654.0,75799.0
2011-08-08,243243.0,142508.0,65061.0,76848.0
2011-08-09,307861.0,158739.0,64094.0,83504.0
2011-08-10,260958.0,169925.0,71962.0,91440.0
2011-08-11,223108.0,159462.0,68453.0,77589.0
2011-08-12,176266.0,156821.0,69952.0,80648.0
2011-08-15,114741.0,167827.0,48319.0,76248.0
2011-08-16,29202.0,183811.0,62591.0,21101.0
2011-08-17,178711.0,71802.0,76179.0,43693.0
2011-08-18,260626.0,91869.0,94639.0,45755.0
2011-08-19,253158.0,84674.0,84495.0,49272.0
2011-08-22,245432.0,105373.0,108727.0,61947.0
2011-08-23,233272.0,101157.0,93931.0,62638.0
2011-08-24,204406.0,105631.0,89042.0,64658.0
2011-08-25,220392.0,88553.0,78076.0,53425.0
2011-08-26,194489.0,81460.0,79290.0,45413.0
2011-08-29,92598.0,28928.0,34275.0,15147.0
