,CO1,CO2,CO3,CO1 R:02_0_D,CO2 R:02_0_D,CO3 R:02_0_D,.BRCOMN,.BRCOML,.BRCOMS,.BRMMN,.BRMML,.BRMMS
2018-10-09,85.0,84.54,84.2,32.66,40.77,45.58,-734170.0,753938.0,1488108.0,313195.0,549833.0,236638.0
2018-10-10,83.09,82.65,82.34,30.75,38.88,43.72,,,,,,
2018-10-11,80.26,79.87,79.6,27.92,36.1,40.98,,,,,,
2018-10-12,80.43,80.07,79.82,28.09,36.3,41.2,,,,,,
2018-10-15,80.78,80.43,80.27,28.44,36.66,41.65,,,,,,
2018-10-16,81.41,81.04,80.88,29.07,37.27,42.26,-698041.0,786921.0,1484962.0,269997.0,489237.0,219240.0
2018-10-17,80.05,79.63,79.48,27.71,35.86,40.86,,,,,,
2018-10-18,79.29,78.75,78.59,26.95,34.98,39.97,,,,,,
2018-10-19,79.78,79.26,79.11,27.44,35.49,40.49,,,,,,
2018-10-22,79.83,79.44,79.33,27.49,35.67,40.71,,,,,,
2018-10-23,76.44,76.15,76.1,24.1,32.38,37.48,-668887.0,707297.0,1376184.0,246947.0,459604.0,212657.0
2018-10-24,76.17,76.17,76.2,23.83,32.4,37.58,,,,,,
2018-10-25,76.89,76.88,76.86,24.55,33.11,38.24,,,,,,
2018-10-26,77.62,77.66,77.61,25.28,33.89,38.99,,,,,,
2018-10-29,77.34,77.37,77.33,25.0,33.6,38.71,,,,,,
2018-10-30,75.91,75.95,75.93,23.58,32.2,37.34,-608315.0,670478.0,1278793.0,201955.0,436915.0,234960.0
2018-10-31,75.47,75.04,75.06,22.67,31.33,36.5,,,,,,
2018-11-01,72.89,72.96,73.04,20.52,29.23,34.45,,,,,,
2018-11-02,72.83,72.83,72.89,20.46,29.1,34.3,,,,,,
2018-11-05,73.17,73.1,73.13,20.8,29.37,34.54,,,,,,
2018-11-06,72.13,72.16,72.25,19.76,28.43,33.66,-599731.0,657174.0,1256905.0,160866.0,406847.0,245981.0
2018-11-07,72.07,72.13,72.24,19.7,28.4,33.65,,,,,,
2018-11-08,70.65,70.9,71.11,18.28,27.17,32.52,,,,,,
2018-11-09,70.18,70.39,70.61,17.81,26.66,32.02,,,,,,
2018-11-12,70.12,70.39,70.6,17.75,26.66,32.01,,,,,,
2018-11-13,65.47,65.81,66.08,13.1,22.08,27.49,-543558.0,724309.0,1267867.0,122819.0,384455.0,261636.0
2018-11-14,66.12,66.47,66.74,13.75,22.74,28.15,,,,,,
2018-11-15,66.62,66.89,67.06,14.25,23.16,28.47,,,,,,
2018-11-16,66.76,67.03,67.21,14.39,23.3,28.62,,,,,,
2018-11-19,66.79,67.08,67.27,14.42,23.35,28.68,,,,,,
2018-11-20,62.53,62.84,63.05,10.16,19.11,24.46,-518168.0,825290.0,1343458.0,97447.0,360841.0,263394.0
2018-11-21,63.48,63.83,64.06,11.11,20.1,25.47,,,,,,
2018-11-22,62.6,62.88,63.11,10.23,19.15,24.52,,,,,,
2018-11-23,58.8,59.04,59.23,6.43,15.31,20.64,,,,,,
2018-11-26,60.48,60.56,60.69,8.11,16.83,22.1,,,,,,
2018-11-27,60.21,60.4,60.58,7.84,16.67,21.99,-474857.0,793260.0,1268117.0,55923.0,341531.0,285608.0
2018-11-28,58.76,59.09,59.29,6.39,15.36,20.7,,,,,,
2018-11-29,59.51,59.91,60.07,7.21,16.14,21.45,,,,,,
2018-11-30,58.71,59.46,59.58,6.76,15.65,20.91,,,,,,
2018-12-03,61.69,61.82,61.93,8.99,17.89,23.15,,,,,,
2018-12-04,62.08,62.22,62.36,9.38,18.29,23.58,-466753.0,766287.0,1233040.0,14683.0,321535.0,306852.0
2018-12-05,61.56,61.76,61.94,8.86,17.83,23.16,,,,,,
2018-12-06,60.06,60.33,60.55,7.36,16.4,21.77,,,,,,
2018-12-07,61.67,61.85,62.0,8.97,17.92,23.22,,,,,,
2018-12-10,59.97,60.1,60.24,7.27,16.17,21.46,,,,,,
2018-12-11,60.2,60.35,60.5,7.5,16.42,21.72,-469601.0,803542.0,1273143.0,10778.0,329311.0,318533.0
2018-12-12,60.15,60.27,60.42,7.45,16.34,21.64,,,,,,
2018-12-13,61.45,61.58,61.74,8.75,17.65,22.96,,,,,,
