,XB1 Comdty ,XB2 Comdty ,XB3 Comdty ,S:XBXB 1-2 Comdty
5/22/18,42516,69652,24144,21975
5/23/18,40181,84622,37730,19549
5/24/18,39126,62541,23792,16707
5/25/18,46915,73035,27957,19084
5/29/18,38326,88027,36502,16312
5/30/18,34869,84499,47300,12964
5/31/18,10116,92183,60286,7049
6/1/18,72833,41580,25150,19774
6/4/18,76251,52411,31468,25328
6/5/18,78151,52605,28855,28361
6/6/18,100727,75596,40336,41018
6/7/18,101257,69755,43946,34645
6/8/18,83195,52342,34008,24076
6/11/18,63555,43104,27076,20671
6/12/18,65436,42844,27737,20648
6/13/18,93162,66367,45019,33087
6/14/18,64392,45944,23235,23216
6/15/18,56278,39942,19590,15133
6/18/18,50485,43481,17245,18103
6/19/18,46444,57681,30091,21320
6/20/18,47776,75814,34819,20699
6/21/18,39842,73263,31750,20200
6/22/18,37990,73891,35810,18964
6/25/18,35738,61323,25388,15794
6/26/18,36166,68899,29493,15025
6/27/18,34850,80970,44682,16118
6/28/18,30060,64981,33799,12005
6/29/18,8485,68944,40956,5742
7/2/18,53981,31433,14273,17061
7/3/18,54324,41579,20242,20334
7/5/18,77391,60135,25318,31652
7/6/18,71093,53762,22598,30317
7/9/18,63384,45120,22509,19733
7/10/18,61495,46768,23780,21052
7/11/18,74508,62366,33397,25350
7/12/18,69168,60506,30112,28303
7/13/18,74708,70334,32525,35261
7/16/18,66567,61928,27321,26714
7/17/18,61236,61662,23770,29208
7/18/18,50432,57886,21315,23054
7/19/18,31256,56059,21870,16769
7/20/18,35145,58629,28354,16684
7/23/18,33185,65206,26844,18253
7/24/18,43705,87304,38272,26167
7/25/18,32011,70937,32498,15648
7/26/18,44483,87112,42843,22165
7/27/18,26522,75228,43746,11409
7/30/18,27477,73281,41492,11879
7/31/18,7422,89114,66827,5072
8/1/18,79583,57365,24264,31425
8/2/18,89754,66757,26360,36610
8/3/18,84848,66694,20034,41123
8/6/18,80220,58894,24081,35031
8/7/18,80088,60831,28719,29409
8/8/18,129162,109512,56015,56277
8/9/18,95925,87070,45270,43040
8/10/18,87022,75010,41832,34349
8/13/18,77693,65377,35374,30583
8/14/18,76778,65014,31026,32487
8/15/18,73559,74996,36096,32456
8/16/18,70373,74027,32889,35596
8/17/18,61311,62669,27736,30526
8/20/18,60955,76230,29393,33003
8/21/18,41293,66549,27333,20683
8/22/18,43947,81926,32774,21198
8/23/18,30960,63293,34048,12973
8/24/18,28817,64369,29675,13007
8/27/18,24754,48351,20534,8710
8/28/18,37272,78169,37880,17310
8/29/18,27659,79589,36001,12643
8/30/18,28870,74322,33427,14927
8/31/18,7091,78925,37950,6254
9/4/18,120184,93251,49763,49536
9/5/18,92544,75839,41141,37561
9/6/18,88011,69492,39561,30813
9/7/18,93013,72834,39996,39631
9/10/18,81107,64830,31318,31321
9/11/18,92365,73806,35801,37518
9/12/18,80318,66107,36654,29990
9/13/18,75628,62807,31675,25175
9/14/18,87569,77375,33960,36895
9/17/18,68680,58458,23069,26962
9/18/18,39644,58639,25754,16704
9/19/18,32442,54575,23598,13582
9/20/18,26274,52144,27317,10338
9/21/18,40720,70172,37367,16004
9/24/18,35060,70922,39328,13755
9/25/18,41208,74220,36517,16833
9/26/18,35154,66825,33641,12502
9/27/18,26616,65960,26513,13193
9/28/18,8784,84430,45560,7259
10/1/18,66691,46951,24383,21029
10/2/18,65419,50933,23339,22620
10/3/18,72082,53326,26500,25208
10/4/18,63120,44459,19182,19381
10/5/18,78990,51321,27229,25091
10/8/18,96950,84047,47685,41084
10/9/18,96717,84753,46930,39982
10/10/18,86001,82075,46314,34798
10/11/18,82944,74270,40983,27877
10/12/18,74653,71269,34432,24413
10/15/18,51168,48928,22749,14656
10/16/18,60581,60748,24203,20609
10/17/18,56803,67609,23303,20914
10/18/18,45358,64697,26710,17985
10/19/18,32501,59051,18959,12949
10/22/18,31473,60060,18892,13246
10/23/18,36698,73833,25562,15091
10/24/18,33180,80106,37387,16381
10/25/18,34207,71885,30581,14346
10/26/18,30680,77855,31724,14439
10/29/18,24177,55889,25157,10088
10/30/18,25022,67561,36327,12475
10/31/18,7349,83375,53377,5448
11/1/18,87927,57511,24173,25322
11/2/18,63733,39251,14351,18812
11/5/18,59909,40216,16362,17700
11/6/18,71120,49155,16945,23541
11/7/18,74995,65567,27525,27772
11/8/18,76575,68888,26619,32957
11/9/18,71580,63181,28403,30323
11/12/18,66213,60666,28243,28881
11/13/18,73620,61828,28011,27703
11/14/18,67048,57178,20371,25383
11/15/18,55391,49711,22339,22231
11/16/18,55500,58744,21785,22792
11/19/18,50138,56443,19220,19793
11/20/18,38349,93428,36922,21528
11/21/18,31279,61703,23536,13399
11/23/18,21899,55474,19645,11591
11/26/18,29663,70405,24312,14812
11/27/18,31768,80329,30530,14905
11/28/18,24757,70759,29013,11669
11/29/18,24326,78747,34941,10077
11/30/18,6388,79708,41966,4701
12/3/18,74947,40196,21701,22301
12/4/18,76111,40346,28217,19841
12/5/18,59675,31494,20537,15508
12/6/18,79551,46686,24265,26234
12/7/18,79659,50691,26180,24826
12/10/18,76320,53720,25063,27894
12/11/18,70737,52509,26560,27179
12/12/18,75043,58609,31804,30679
12/13/18,78945,47493,29002,24608
12/14/18,58003,46402,17749,25648
12/17/18,55548,47739,18703,21029
12/18/18,63380,71836,26671,29881
12/19/18,40786,79799,26154,23755
12/20/18,34546,84973,31010,17788
12/21/18,31441,67342,22464,14454
12/24/18,15948,32432,13285,8955
12/26/18,39455,70125,24089,22181
12/27/18,26338,58204,26173,12687
12/28/18,17408,57837,26686,6034
12/31/18,3584,39226,23545,2596
1/2/19,87520,49998,25051,24477
1/3/19,57752,42113,19593,20405
1/4/19,66360,48958,25833,22455
1/7/19,79091,48280,20890,26275
1/8/19,74924,63305,26567,30359
1/9/19,75277,55182,23872,28569
1/10/19,66195,51074,23179,23674
1/11/19,70850,57852,19733,28388
1/14/19,66387,43197,16036,22992
1/15/19,64967,57395,20239,29598
1/16/19,78951,65234,27468,33424
1/17/19,65459,57050,23221,26836
1/18/19,52085,56107,19244,20860
1/22/19,37332,74116,25734,17630
1/23/19,32543,71032,27677,17029
1/24/19,27522,70273,26840,14323
1/25/19,24574,59517,22174,12610
1/28/19,34737,80889,25826,18486
1/29/19,21332,81787,34733,12159
1/30/19,20100,103695,50745,10481
1/31/19,5828,97805,55919,4644
2/1/19,74474,39682,15545,22179
2/4/19,86604,59794,21214,31570
2/5/19,75343,46992,15423,26044
2/6/19,84146,52664,17689,33148
2/7/19,97092,70155,26355,36912
2/8/19,98324,72372,26330,36569
2/11/19,71679,50061,20453,24489
2/12/19,76044,56511,22772,29527
2/13/19,82818,63169,21164,36351
2/14/19,84730,73991,20935,41891
2/15/19,98347,100922,30828,52521
2/19/19,58707,93418,22826,32147
2/20/19,34586,61422,19003,18495
2/21/19,48250,80452,26298,30065
2/22/19,38183,62075,21153,19499
2/25/19,30573,62055,13983,12832
2/26/19,30078,66166,18563,16935
2/27/19,31419,73644,35965,15361
2/28/19,6244,58363,31859,4458
3/1/19,69014,34724,20437,17321
3/4/19,62545,37079,16474,18721
3/5/19,61432,42450,24050,21974
3/6/19,91542,72062,35481,36855
3/7/19,78585,64109,32326,29390
3/8/19,114037,88836,45415,41523
3/11/19,81438,70232,37058,32758
3/12/19,70920,63735,31606,30362
3/13/19,105034,102274,59989,50486
3/14/19,79789,68502,35215,34536
3/15/19,71481,62619,29320,26282
3/18/19,54880,68678,39965,23888
3/19/19,41407,71593,38003,18897
3/20/19,48508,83329,33478,24300
3/21/19,42851,97028,68743,22975
3/22/19,38596,101561,61622,19736
3/25/19,35587,82594,50653,15566
3/26/19,32015,100629,66332,15093
3/27/19,29272,106242,64302,16687
3/28/19,18652,95107,69137,8764
3/29/19,4849,76179,43226,3004
4/1/19,65324,52692,26026,24187
4/2/19,72967,51292,24153,19976
4/3/19,98825,68336,41578,26087
4/4/19,71127,56180,33861,22958
4/5/19,96388,76473,40551,29417
4/8/19,82870,68270,36168,30765
4/9/19,94751,90321,46263,41110
4/10/19,99118,90467,60676,36159
4/11/19,89385,80704,43545,35322
4/12/19,68351,59474,34438,23688
4/15/19,69901,64660,37312,24186
4/16/19,61159,64169,38244,22401
4/17/19,82758,86639,38840,37303
4/18/19,66081,96410,39094,29883
4/22/19,47336,99930,39225,27587
4/23/19,54186,106613,44386,29145
4/24/19,47592,104013,46097,23577
4/25/19,42765,85077,37044,23481
4/26/19,31494,113185,47719,16669
4/29/19,28394,79835,32681,13061
4/30/19,8525,96208,58698,7004
5/1/19,83759,65828,35987,32519
5/2/19,79340,55278,30561,20958
5/3/19,82536,58550,31936,27469
5/6/19,91417,72837,34337,34075
5/7/19,91240,78382,36477,36157
5/8/19,95390,80050,41871,35669
5/9/19,78112,60939,31497,28088
5/10/19,80866,60860,33460,26841
5/13/19,75187,62051,30840,23269
5/14/19,64217,57445,30005,22408
5/15/19,71275,61133,31822,25375
5/16/19,77254,84896,51686,30911
5/17/19,67416,76045,37025,29975
5/20/19,50562,68109,35424,22122
5/21/19,38318,71276,30544,17963
5/22/19,35524,84521,35922,19489
